subject,session,channel,epoch_id,Q1,Q2,Q3,mean_diag_delta,mean_diag_theta,mean_diag_alpha,mean_diag_beta,mean_diag_gamma,mean_diag,mean_all,mean_offdiag,theta_alpha_coupling,alpha_beta_coupling,peak_diag,peak_diag_freq
sub-001,ses-01,Fp1,0,2,2,0,10.5121,7.8897,7.1966,4.7537,0.0000,4.1531,5.9768,5.9566,4.4828,5.6084,33.1831,1.0000
sub-001,ses-01,Fp1,1,2,4,0,7.3997,8.0558,4.9982,5.2157,0.0000,3.7120,5.9617,5.9444,5.5639,3.8867,21.7438,1.0000
sub-001,ses-01,Fp1,2,2,2,0,22.1199,6.7740,11.7189,3.5267,0.0000,5.3892,5.8797,5.7186,6.8045,5.7060,69.8310,1.0000
sub-001,ses-01,Fp1,3,2,2,0,9.1167,4.3019,7.2746,4.8806,0.0000,3.7388,5.7734,5.7594,4.2917,4.4541,18.5527,11.0000
sub-001,ses-01,Fp1,4,2,4,0,10.1726,9.4006,7.6373,7.0877,0.0000,5.0292,5.7987,5.7428,5.6273,5.1529,32.7039,17.0000
sub-001,ses-01,Fp1,5,4,2,0,5.2400,1.7496,11.8652,5.0421,0.0000,3.8302,5.6502,5.6190,6.6924,6.1335,22.5055,11.0000
sub-001,ses-01,Fp1,6,2,4,0,6.9115,5.1706,4.9954,4.7560,0.0000,3.2588,5.7754,5.7559,9.2290,4.6281,15.7221,21.0000
sub-001,ses-01,Fp1,7,2,2,0,5.7187,8.8519,11.6998,4.7351,0.0000,4.4195,6.0874,6.0580,6.5849,5.8810,19.6071,12.0000
sub-001,ses-01,Fp1,8,4,2,0,8.8987,7.5683,5.1909,5.6861,0.0000,3.9752,5.1171,5.0657,4.1636,4.4908,20.5449,20.0000
sub-001,ses-01,Fp1,9,4,4,0,3.3948,1.8838,4.4531,4.0831,0.0000,2.3468,4.6046,4.5878,5.0014,4.8726,15.7263,20.0000
sub-001,ses-01,Fp1,10,2,2,0,0.9608,4.4109,4.2613,2.9349,0.0000,1.9816,5.1265,5.1380,2.3060,5.9855,13.1463,14.0000
sub-001,ses-01,Fp1,11,2,4,0,8.2119,6.8969,5.4556,4.6684,0.0000,3.5781,5.0171,4.9995,5.8160,5.0187,23.2773,1.0000
sub-001,ses-01,Fp1,12,4,2,0,15.7596,11.3019,5.8697,3.5748,0.0000,4.4171,5.7284,5.6949,4.5295,5.1912,30.3842,1.0000
sub-001,ses-01,Fp1,13,4,0,0,10.3044,8.5050,8.3037,4.5053,0.0000,4.2704,5.3126,5.2522,6.1718,5.6772,23.8898,7.0000
sub-001,ses-01,Fp1,14,4,2,0,3.7904,3.1974,11.0230,5.3973,0.0000,3.8199,5.3138,5.2857,5.1876,4.3906,21.8956,22.0000
sub-001,ses-01,Fp1,15,2,2,0,7.6492,5.6236,5.2464,8.0417,0.0000,4.3979,5.3469,5.2862,6.3259,3.9412,25.4685,22.0000
sub-001,ses-01,Fp1,16,2,4,2,14.4255,3.3497,3.5824,3.7979,0.0000,3.3016,4.6922,4.6646,4.9581,4.3712,38.2711,3.0000
sub-001,ses-01,Fp1,17,2,4,2,2.8232,2.4051,7.0000,4.5001,0.0000,2.8236,5.8831,5.9003,4.8479,5.3853,16.9018,9.0000
sub-001,ses-01,Fp1,18,2,2,0,8.8259,8.8593,4.8524,3.3673,0.0000,3.3402,5.2364,5.2275,6.3950,4.7666,18.5555,19.0000
sub-001,ses-01,Fp1,19,2,2,0,1.8747,3.3194,6.7998,3.6426,0.0000,2.5332,4.4486,4.4482,3.3114,4.7844,19.2579,8.0000
sub-001,ses-01,Fp1,20,4,2,0,9.0331,10.3207,6.1012,3.6385,0.0000,3.7517,5.8717,5.8620,4.6305,7.2380,21.6272,1.0000
sub-001,ses-01,Fp1,21,4,2,0,5.8533,10.1511,9.6177,4.3713,0.0000,4.1523,5.6230,5.5854,4.4848,4.6580,25.0577,9.0000
sub-001,ses-01,Fp1,22,4,2,0,2.6997,4.0335,8.8647,4.3069,0.0000,3.1654,5.5466,5.5462,7.4323,5.3937,23.4378,9.0000
sub-001,ses-01,Fp1,23,2,4,2,14.1144,6.2783,9.0710,4.7155,0.0000,4.5883,6.5826,6.5337,9.9703,6.0700,37.1006,1.0000
sub-001,ses-01,Fp1,24,2,2,2,9.0783,3.5477,5.3227,6.5382,0.0000,3.8939,5.6284,5.5951,5.0741,4.1876,20.9837,2.0000
sub-001,ses-01,Fp1,25,2,4,2,4.5619,5.6569,4.4850,3.3236,0.0000,2.5812,4.9297,4.9257,4.8349,4.3135,22.3774,18.0000
sub-001,ses-01,Fp1,26,2,2,2,5.4473,2.3748,2.9583,2.7097,0.0000,1.9596,5.4229,5.4626,4.2467,5.1611,11.8892,18.0000
sub-001,ses-01,C3,0,2,2,0,32.7598,7.9838,6.1953,3.8608,0.0000,5.8218,6.6497,6.5383,7.0220,5.8292,70.1105,1.0000
sub-001,ses-01,C3,1,2,4,0,2.6526,6.2510,8.1399,3.2836,0.0000,2.9568,6.4216,6.4469,8.2666,7.0721,12.8210,6.0000
sub-001,ses-01,C3,2,2,2,0,12.3511,9.4061,8.7497,4.0747,0.0000,4.4767,6.3516,6.3158,6.3334,7.6787,26.7154,9.0000
sub-001,ses-01,C3,3,2,2,0,9.6750,7.7039,7.9790,4.0576,0.0000,3.9567,5.5623,5.5151,6.3668,4.0662,26.5183,10.0000
sub-001,ses-01,C3,4,2,4,0,6.9489,10.8251,5.1942,5.2238,0.0000,3.9575,5.8142,5.7893,5.1802,6.1665,37.2407,5.0000
sub-001,ses-01,C3,5,4,2,0,5.8255,6.5730,12.8816,6.0611,0.0000,4.7832,5.8080,5.7531,6.6075,6.4263,26.2274,11.0000
sub-001,ses-01,C3,6,2,4,0,1.8715,5.0649,3.5362,2.7152,0.0000,1.9596,4.9000,4.9279,5.4732,4.8971,9.4554,5.0000
sub-001,ses-01,C3,7,2,2,0,6.0962,3.3546,12.4038,7.0509,0.0000,4.7416,5.7029,5.6390,2.5418,6.4645,32.7157,10.0000
sub-001,ses-01,C3,8,4,2,0,11.3786,8.2172,9.9796,3.3229,0.0000,4.2200,5.4412,5.4032,3.2411,4.8835,18.2725,2.0000
sub-001,ses-01,C3,9,4,4,0,13.4721,12.8868,7.0268,2.6168,0.0000,4.2236,6.1474,6.1350,6.1340,6.4729,27.3190,4.0000
sub-001,ses-01,C3,10,2,2,0,2.1433,1.1420,6.6941,3.4993,0.0000,2.2976,5.9306,5.9637,6.1601,6.9442,14.8122,8.0000
sub-001,ses-01,C3,11,2,4,0,2.0945,11.3212,9.1245,3.0330,0.0000,3.4381,5.7302,5.7150,5.9420,5.3068,25.9684,10.0000
sub-001,ses-01,C3,12,4,2,0,5.1453,3.8361,7.5198,4.1497,0.0000,3.1393,5.6327,5.6329,3.1201,6.6533,20.0628,16.0000
sub-001,ses-01,C3,13,4,0,0,6.6615,4.4704,7.8370,4.9305,0.0000,3.6197,5.5016,5.4782,6.8196,5.9544,16.0124,13.0000
sub-001,ses-01,C3,14,4,2,0,2.3568,5.2935,5.1221,6.2601,0.0000,3.3190,4.8732,4.8567,3.1271,5.5130,27.4913,20.0000
sub-001,ses-01,C3,15,2,2,0,3.7842,4.6828,5.7759,5.1860,0.0000,3.1614,5.3124,5.3101,5.2438,4.7693,20.0053,16.0000
sub-001,ses-01,C3,16,2,4,2,6.6408,8.7489,6.8552,4.1897,0.0000,3.6548,4.8295,4.7963,5.5155,4.5541,17.0718,11.0000
